"municode" "sex" "age" "pop"
"5200100" "m" 69 23.6138566493681
"5200100" "m" 70 71.8640301967333
"5200100" "m" 71 38.7752037261065
"5200100" "m" 72 38.6703995925425
"5200100" "m" 73 33.5184545124476
"5200100" "m" 74 39.9723709616491
"5200100" "m" 75 38.7251754174068
"5200100" "m" 76 14.5565255685821
"5200100" "m" 78 21.3444784621164
"5200100" "m" 79 26.9288680169253
"5200100" "m" 80 5.294184102204
"5200100" "m" 81 15.2399142358158
"5200100" "m" 82 15.83578783862
"5200100" "m" 84 10.8287163131427
"5200100" "m" 85 6.2969713083246
"5200100" "m" 88 9.2241689058868
"5200100" "m" 90 5.37781844497
"5200134" "f" 0 108.856265276937
"5200134" "f" 1 135.190128496636
"5200134" "f" 2 142.785637696847
"5200134" "f" 3 129.28408030907
"5200134" "f" 4 178.599494452371
"5200134" "f" 5 161.959885322516
"5200134" "f" 6 171.813802744359
"5200134" "f" 7 164.531783368381
"5200134" "f" 8 121.553381218628
"5200134" "f" 9 194.14114734612
"5200134" "f" 10 204.403298114931
"5200134" "f" 11 143.847223092414
"5200134" "f" 12 168.367893934228
"5200134" "f" 13 200.022122193367
"5200134" "f" 14 202.359462665067
"5200134" "f" 15 196.374132870666
"5200134" "f" 16 212.251199489367
"5200134" "f" 17 151.232913749798
"5200134" "f" 18 158.610303029948
"5200134" "f" 19 131.531450860227
"5200134" "f" 20 172.300074398242
"5200134" "f" 21 177.227444476244
"5200134" "f" 22 134.233456337277
"5200134" "f" 23 207.774122884838
"5200134" "f" 24 200.464901903405
"5200134" "f" 25 181.642991534392
"5200134" "f" 26 185.601158622843
"5200134" "f" 27 159.748095258179
"5200134" "f" 28 148.843460744082
"5200134" "f" 29 172.164293840511
"5200134" "f" 30 187.006709794098
"5200134" "f" 31 170.521587577705
"5200134" "f" 32 184.811450301985
"5200134" "f" 33 180.896068494263
"5200134" "f" 34 133.764183831955
"5200134" "f" 35 231.151812132002
"5200134" "f" 36 113.910575672072
"5200134" "f" 37 203.838792681554
"5200134" "f" 38 114.355374327383
"5200134" "f" 39 155.743445186995
"5200134" "f" 40 160.06102814844
"5200134" "f" 41 158.316816892105
"5200134" "f" 42 159.805976954192
"5200134" "f" 43 98.6647854246405
"5200134" "f" 44 175.151392580627
"5200134" "f" 45 135.554240580724
"5200134" "f" 46 114.943306336812
"5200134" "f" 47 141.056165082036
"5200134" "f" 48 102.987493056607
"5200134" "f" 49 136.458794943827
"5200134" "f" 50 167.879045627663
"5200134" "f" 51 63.5558634021105
"5200134" "f" 52 94.3756764452008
"5200134" "f" 53 95.5005553283887
"5200134" "f" 54 90.5906215359153
"5200134" "f" 55 75.3252576511158
"5200134" "f" 56 73.1715248218539
"5200134" "f" 57 61.6858284554155
"5200134" "f" 58 129.947819700941
"5200134" "f" 59 45.9678070314029
"5200134" "f" 60 93.9835368883687
"5200134" "f" 61 49.8246526780987
"5200134" "f" 62 70.6132524239707
"5200134" "f" 63 54.3015350792385
"5200134" "f" 64 39.9448451996952
"5200134" "f" 65 56.0229953592702
"5200134" "f" 66 57.7916939398552
"5200134" "f" 67 44.0529564273088
"5200134" "f" 68 49.845593593985
"5200134" "f" 69 46.6804807169506
"5200134" "f" 70 42.5028234081126
"5200134" "f" 71 17.872096674346
"5200134" "f" 72 36.4302701659237
"5200134" "f" 73 26.5173424556036
"5200134" "f" 74 37.7390209097144
"5200134" "f" 75 16.6978698286034
"5200134" "f" 76 16.1634421802531
"5200134" "f" 77 4.2369491327336
"5200134" "f" 78 24.0802569145288
"5200134" "f" 79 34.1366155308913
"5200134" "f" 80 11.3699271814478
"5200134" "f" 81 8.6697623829129
"5200134" "f" 82 4.7787742524268
"5200134" "f" 83 21.630592024002
"5200134" "f" 84 13.2754766824376
"5200134" "f" 85 3.9990127852301
"5200134" "f" 86 4.3206068176446
"5200134" "f" 87 2.8094150842686
"5200134" "f" 88 11.8843359736918
"5200134" "f" 89 4.3956015197217
"5200134" "f" 92 6.7061955941395
"5200134" "f" 93 3.7055486174306
"5200134" "f" 94 8.3009153453491
"5200134" "m" 0 122.440754374867
"5200134" "m" 1 180.942385132596
"5200134" "m" 2 145.09670308528
"5200134" "m" 3 116.215648004304
"5200134" "m" 4 172.664060747847
"5200134" "m" 5 211.853158010426
"5200134" "m" 6 187.315426090691
"5200134" "m" 7 173.309014788017
"5200134" "m" 8 154.496147649913
"5200134" "m" 9 177.026253460959
"5200134" "m" 10 157.455699815828
"5200134" "m" 11 186.935387637107
"5200134" "m" 12 212.931687307735
"5200134" "m" 13 201.303866083536
"5200134" "m" 14 186.373359155799
"5200134" "m" 15 218.425947202205
"5200134" "m" 16 159.364657402912
"5200134" "m" 17 155.916291181963
"5200134" "m" 18 200.316606684828
"5200134" "m" 19 141.976497528098
"5200134" "m" 20 175.618467778936
"5200134" "m" 21 205.487849246188
"5200134" "m" 22 224.485401458848
"5200134" "m" 23 170.555948654855
"5200134" "m" 24 118.852332861179
"5200134" "m" 25 203.974476336371
"5200134" "m" 26 148.056610105723
"5200134" "m" 27 215.199419702135
"5200134" "m" 28 205.686713235903
"5200134" "m" 29 164.082780619876
"5200134" "m" 30 189.215002442514
"5200134" "m" 31 163.704445242438
"5200134" "m" 32 152.107876125684
"5200134" "m" 33 147.461114541057
"5200134" "m" 34 217.511561648313
"5200134" "m" 35 114.208525339134
"5200134" "m" 36 211.754402867735
"5200134" "m" 37 181.13986725164
"5200134" "m" 38 150.934473171049
"5200134" "m" 39 156.962731370449
"5200134" "m" 40 186.58543406057
"5200134" "m" 41 139.091906123888
"5200134" "m" 42 198.993153747766
"5200134" "m" 43 148.538030373165
"5200134" "m" 44 126.791475694618
"5200134" "m" 45 134.534950269052
"5200134" "m" 46 132.691769618338
"5200134" "m" 47 133.272193832911
"5200134" "m" 48 124.450161005025
"5200134" "m" 49 151.050925274682
"5200134" "m" 50 150.817554367691
"5200134" "m" 51 137.524683381807
"5200134" "m" 52 103.188612675415
"5200134" "m" 53 65.8431843865212
"5200134" "m" 54 76.7067651311127
"5200134" "m" 55 66.5739053704643
"5200134" "m" 56 91.2269642982005
"5200134" "m" 57 60.1955124465841
"5200134" "m" 58 91.1272553542782
"5200134" "m" 59 98.7955625879344
"5200134" "m" 60 48.5509182901644
"5200134" "m" 61 71.4572372094513
"5200134" "m" 62 42.5551904364335
"5200134" "m" 63 52.8954699936149
"5200134" "m" 64 56.7472946733444
"5200134" "m" 65 41.4728533572444
"5200134" "m" 66 82.4038437733342
"5200134" "m" 67 66.6414495654913
"5200134" "m" 68 34.3666222856018
"5200134" "m" 69 69.8475781085892
"5200134" "m" 70 37.7049062191559
"5200134" "m" 71 33.0494669697885
"5200134" "m" 72 41.5295515608955
"5200134" "m" 73 38.4633681081914
"5200134" "m" 74 23.3157191772988
"5200134" "m" 75 36.8332762368442
"5200134" "m" 76 21.5613629312268
"5200134" "m" 77 21.4088380406444
"5200134" "m" 78 20.1603634172189
"5200134" "m" 79 23.7007309751386
"5200134" "m" 80 17.620153002401
"5200134" "m" 81 7.1481593722294
"5200134" "m" 82 5.5804137906426
"5200134" "m" 83 4.4328132501793
"5200134" "m" 84 8.8656265003586
"5200134" "m" 85 21.4307276831006
"5200134" "m" 86 5.3394491602861
"5200134" "m" 87 8.9681370438078
"5200134" "m" 89 20.0595365087376
"5200134" "m" 92 4.4328132501793
"5200134" "m" 93 3.0896391503498
"5200134" "m" 96 5.5804137906426
"5200134" "m" 97 4.4265248225291
"5200159" "f" 0 18.6328836326043
"5200159" "f" 1 13.7669647126905
"5200159" "f" 2 8.2001145813061
"5200159" "f" 3 17.470907484278
"5200159" "f" 4 11.3904064135953
"5200159" "f" 5 20.4940103386759
"5200159" "f" 6 9.8855884755229
"5200159" "f" 7 18.6931288012363
"5200159" "f" 8 8.0258122318515
"5200159" "f" 9 21.901460152717
"5200159" "f" 10 15.7512400090122
"5200159" "f" 11 25.4390388735696
"5200159" "f" 12 25.2302354500795
"5200159" "f" 13 15.0899564201864
"5200159" "f" 14 13.4895292471559
"5200159" "f" 15 23.1433141011
"5200159" "f" 16 28.318842570965
"5200159" "f" 17 33.44320158147
"5200159" "f" 18 18.2142562575493
"5200159" "f" 19 14.8803854889194
"5200159" "f" 20 31.1378783890739
"5200159" "f" 21 17.0573454814971
"5200159" "f" 22 16.5547387014285
"5200159" "f" 23 18.9668066899112
"5200159" "f" 24 24.2832307380928
"5200159" "f" 25 15.3983935661824
"5200159" "f" 26 14.6075817720192
"5200159" "f" 27 24.8240182179387
"5200159" "f" 28 20.6504771532855
"5200159" "f" 29 16.5195292905776
"5200159" "f" 30 14.5171516614303
"5200159" "f" 31 33.5975907125683
"5200159" "f" 32 7.6696135439707
"5200159" "f" 33 12.1014758270125
"5200159" "f" 34 17.1141682550222
"5200159" "f" 35 20.2106401220548
"5200159" "f" 36 29.7692672481297
"5200159" "f" 37 12.945116589356
"5200159" "f" 38 17.2388274032915
"5200159" "f" 39 11.8361486371707
"5200159" "f" 40 21.1426577211716
"5200159" "f" 41 18.4638876792411
"5200159" "f" 42 16.0554454601508
"5200159" "f" 43 10.7344117764107
"5200159" "f" 44 29.6035973630284
"5200159" "f" 45 26.327939640154
"5200159" "f" 46 28.3091251191563
"5200159" "f" 47 8.3791651183915
"5200159" "f" 48 17.038070027202
"5200159" "f" 49 6.9457000950993
"5200159" "f" 50 25.7365979848152
"5200159" "f" 51 8.7075645985938
"5200159" "f" 52 17.6378562492366
"5200159" "f" 53 12.3947625867951
"5200159" "f" 54 14.2967565814029
"5200159" "f" 55 6.0700322020496
"5200159" "f" 56 20.5373287105544
"5200159" "f" 57 3.0752840349355
"5200159" "f" 58 13.4481321471949
"5200159" "f" 59 4.0956849044259
"5200159" "f" 60 18.0755881382879
"5200159" "f" 61 12.5049602632164
"5200159" "f" 62 3.6267687494973
"5200159" "f" 63 12.4843494823163
"5200159" "f" 64 11.1905043082694
"5200159" "f" 65 11.0989171079195
"5200159" "f" 66 10.5851773370191
"5200159" "f" 67 2.8318169849873
"5200159" "f" 68 8.9702178842373
"5200159" "f" 69 7.7701112846352
"5200159" "f" 70 13.3489656837977
"5200159" "f" 71 6.4287749181616
"5200159" "f" 72 3.7587808092135
"5200159" "f" 75 3.117169188693
"5200159" "f" 76 7.517561618427
"5200159" "f" 78 3.117169188693
"5200159" "f" 79 3.8042612518186
"5200159" "f" 80 2.8006827697573
"5200159" "f" 83 3.6624360493285
"5200159" "f" 85 3.117169188693
"5200159" "f" 86 3.1564883881069
"5200159" "f" 90 3.5708525804564
"5200159" "m" 0 14.1770595057629
"5200159" "m" 1 13.8559486149793
