"municode" "muniname" "sex" "age" "pop_std" "mx_std" "pop_obs" "mx_obs"
520551 "Cocalzinho de Goiás" "m" 85 87856 0.108905 5.0301047756772 0.198803015960114
520551 "Cocalzinho de Goiás" "m" 86 72953 0.120543 5.321667223356 0
520551 "Cocalzinho de Goiás" "m" 87 60074 0.131305 5.2648336292525 0.569818575715552
520551 "Cocalzinho de Goiás" "m" 88 49839 0.139509 0 0
520551 "Cocalzinho de Goiás" "m" 89 40037 0.154082 0 0
520551 "Cocalzinho de Goiás" "m" 90 37970 0.142402 0 0
520551 "Cocalzinho de Goiás" "m" 91 26745 0.177641 5.321667223356 0
520551 "Cocalzinho de Goiás" "m" 92 21371 0.187123 0 0
520551 "Cocalzinho de Goiás" "m" 93 16052 0.208759 0 0
520551 "Cocalzinho de Goiás" "m" 94 12826 0.219944 0 0
520551 "Cocalzinho de Goiás" "m" 95 10317 0.216342 0 0
520551 "Cocalzinho de Goiás" "m" 96 7905 0.230614 5.2567708748821 0
520551 "Cocalzinho de Goiás" "m" 97 5743 0.239422 0 0
520551 "Cocalzinho de Goiás" "m" 98 4314 0.244553 0 0
520551 "Cocalzinho de Goiás" "m" 99 3250 0.244615 0 0
520140 "Aparecida de Goiânia" "f" 0 1334712 0.012527 3554.71760707267 0.0115339682450229
520140 "Aparecida de Goiânia" "f" 1 1325484 0.001059 3305.35524927612 0.00121015736534704
520140 "Aparecida de Goiânia" "f" 2 1339814 0.000575 4066.15945033356 0.000245932313332663
520140 "Aparecida de Goiânia" "f" 3 1371487 0.000408 3663.71510843947 0.000272946986979548
520140 "Aparecida de Goiânia" "f" 4 1407674 0.000318 3903.75921037042 0
520140 "Aparecida de Goiânia" "f" 5 1438735 0.000284 3607.00919223117 0.000277237995997852
520140 "Aparecida de Goiânia" "f" 6 1421784 0.000257 3825.40403531662 0
520140 "Aparecida de Goiânia" "f" 7 1452364 0.000242 3782.93550438959 0
520140 "Aparecida de Goiânia" "f" 8 1467609 0.000225 3870.6262754815 0.000258356123486916
520140 "Aparecida de Goiânia" "f" 9 1564739 0.000222 3842.02499258114 0
520140 "Aparecida de Goiânia" "f" 10 1712070 2e-04 4063.96621456417 0
520140 "Aparecida de Goiânia" "f" 11 1643553 0.000235 3837.0162638955 0
520140 "Aparecida de Goiânia" "f" 12 1675022 0.000242 4639.20284200183 0.000215554273882212
520140 "Aparecida de Goiânia" "f" 13 1684160 3e-04 4305.32989803399 0.000232270237980287
520140 "Aparecida de Goiânia" "f" 14 1726543 0.000319 4050.48478150455 0.000493768056883577
520140 "Aparecida de Goiânia" "f" 15 1772757 0.000387 4687.64582886382 0.000213326696706175
520140 "Aparecida de Goiânia" "f" 16 1691289 0.000456 3881.76784776241 0.00025761458160782
520140 "Aparecida de Goiânia" "f" 17 1670352 0.000481 4426.51308809967 0
520140 "Aparecida de Goiânia" "f" 18 1668111 0.000514 4155.72177238232 0.000962528345035705
