"municode" "muniname" "year" "sex" "age" "deaths"
520025 "Águas Lindas de Goiás" 2011 "m" 52 3
520025 "Águas Lindas de Goiás" 2011 "m" 53 4
520025 "Águas Lindas de Goiás" 2011 "m" 54 3
520025 "Águas Lindas de Goiás" 2011 "m" 55 6
520025 "Águas Lindas de Goiás" 2011 "m" 56 5
520025 "Águas Lindas de Goiás" 2011 "m" 57 2
520025 "Águas Lindas de Goiás" 2011 "m" 58 3
520025 "Águas Lindas de Goiás" 2011 "m" 59 7
520025 "Águas Lindas de Goiás" 2011 "m" 60 9
520025 "Águas Lindas de Goiás" 2011 "m" 61 5
520025 "Águas Lindas de Goiás" 2011 "m" 62 1
520025 "Águas Lindas de Goiás" 2011 "m" 63 6
520025 "Águas Lindas de Goiás" 2011 "m" 64 3
520025 "Águas Lindas de Goiás" 2011 "m" 65 3
520025 "Águas Lindas de Goiás" 2011 "m" 66 2
520025 "Águas Lindas de Goiás" 2011 "m" 67 4
520025 "Águas Lindas de Goiás" 2011 "m" 68 4
520025 "Águas Lindas de Goiás" 2011 "m" 69 4
520025 "Águas Lindas de Goiás" 2011 "m" 70 4
520025 "Águas Lindas de Goiás" 2011 "m" 71 1
520025 "Águas Lindas de Goiás" 2011 "m" 72 6
520025 "Águas Lindas de Goiás" 2011 "m" 73 6
520025 "Águas Lindas de Goiás" 2011 "m" 74 4
520025 "Águas Lindas de Goiás" 2011 "m" 75 3
520025 "Águas Lindas de Goiás" 2011 "m" 76 2
520025 "Águas Lindas de Goiás" 2011 "m" 77 3
520025 "Águas Lindas de Goiás" 2011 "m" 78 6
520025 "Águas Lindas de Goiás" 2011 "m" 79 3
520025 "Águas Lindas de Goiás" 2011 "m" 80 3
520025 "Águas Lindas de Goiás" 2011 "m" 81 3
520025 "Águas Lindas de Goiás" 2011 "m" 82 3
520025 "Águas Lindas de Goiás" 2011 "m" 83 2
520025 "Águas Lindas de Goiás" 2011 "m" 84 4
520025 "Águas Lindas de Goiás" 2011 "m" 85 4
520025 "Águas Lindas de Goiás" 2011 "m" 86 3
520025 "Águas Lindas de Goiás" 2011 "m" 88 1
520025 "Águas Lindas de Goiás" 2011 "m" 90 1
520025 "Águas Lindas de Goiás" 2011 "m" 93 2
520025 "Águas Lindas de Goiás" 2011 "m" 94 1
520025 "Águas Lindas de Goiás" 2011 "m" 97 2
520025 "Águas Lindas de Goiás" 2011 "m" 101 1
520140 "Aparecida de Goiânia" 2009 "f" 0 40
520140 "Aparecida de Goiânia" 2009 "f" 1 2
520140 "Aparecida de Goiânia" 2009 "f" 2 1
520140 "Aparecida de Goiânia" 2009 "f" 5 3
520140 "Aparecida de Goiânia" 2009 "f" 6 1
520140 "Aparecida de Goiânia" 2009 "f" 9 1
520140 "Aparecida de Goiânia" 2009 "f" 10 1
520140 "Aparecida de Goiânia" 2009 "f" 12 1
520140 "Aparecida de Goiânia" 2009 "f" 13 4
520140 "Aparecida de Goiânia" 2009 "f" 14 3
520140 "Aparecida de Goiânia" 2009 "f" 15 2
520140 "Aparecida de Goiânia" 2009 "f" 16 2
520140 "Aparecida de Goiânia" 2009 "f" 17 1
520140 "Aparecida de Goiânia" 2009 "f" 18 2
520140 "Aparecida de Goiânia" 2009 "f" 19 1
520140 "Aparecida de Goiânia" 2009 "f" 20 3
520140 "Aparecida de Goiânia" 2009 "f" 21 6
520140 "Aparecida de Goiânia" 2009 "f" 22 2
520140 "Aparecida de Goiânia" 2009 "f" 23 4
