"p0" "mu_0" "sigma2_0" "rho_0" "mu" "sigma2" "rho" "k"
"(25, 25, 0.57)" 25 25 0.57 9.75 17.54 0.259 30
"(25, 25, 0.58)" 25 25 0.58 9.75 17.54 0.259 32
"(25, 25, 0.59)" 25 25 0.59 25 25 0.59 0
"(25, 25, 0.6)" 25 25 0.6 25 25 0.6 0
"(25, 25, 0.61)" 25 25 0.61 25 25 0.61 0
"(25, 25, 0.62)" 25 25 0.62 25 25 0.62 0
"(25, 25, 0.63)" 25 25 0.63 25 25 0.63 0
"(25, 25, 0.64)" 25 25 0.64 9.36 14.96 0.012 23
"(25, 25, 0.65)" 25 25 0.65 7.19 16.37 0.196 35
"(25, 25, 0.66)" 25 25 0.66 6.09 16.06 0.178 39
"(25, 25, 0.67)" 25 25 0.67 10.75 19.63 0.354 36
"(25, 25, 0.68)" 25 25 0.68 9.36 14.96 0.012 33
"(25, 25, 0.69)" 25 25 0.69 9.36 14.96 0.012 36
"(25, 25, 0.7)" 25 25 0.7 25 25 0.7 0
"(25, 25, 0.71)" 25 25 0.71 11.05 35.64 0.879 12
"(25, 25, 0.72)" 25 25 0.72 9.36 14.96 0.012 31
"(25, 25, 0.73)" 25 25 0.73 9.36 14.96 0.012 35
"(25, 25, 0.74)" 25 25 0.74 9.36 14.96 0.012 36
"(25, 25, 0.75)" 25 25 0.75 25 25 0.75 0
"(25, 25, 0.76)" 25 25 0.76 25 25 0.76 0
"(25, 25, 0.77)" 25 25 0.77 9.75 17.54 0.259 29
"(25, 25, 0.78)" 25 25 0.78 7.99 16.62 0.211 31
"(25, 25, 0.79)" 25 25 0.79 9.36 14.96 0.012 35
"(25, 25, 0.8)" 25 25 0.8 9.36 14.96 0.012 18
"(25, 25, 0.81)" 25 25 0.81 11.05 35.64 0.879 36
"(25, 25, 0.82)" 25 25 0.82 9.36 14.96 0.012 35
"(25, 25, 0.83)" 25 25 0.83 25 25 0.83 0
"(25, 25, 0.84)" 25 25 0.84 25 25 0.84 0
"(25, 25, 0.85)" 25 25 0.85 25 25 0.85 0
"(25, 25, 0.86)" 25 25 0.86 25 25 0.86 0
"(25, 25, 0.87)" 25 25 0.87 8.76 16.92 0.227 36
"(25, 25, 0.88)" 25 25 0.88 9.36 14.96 0.012 36
"(25, 25, 0.89)" 25 25 0.89 5.43 15.82 0.162 25
"(25, 25, 0.9)" 25 25 0.9 9.36 14.96 0.012 34
"(25, 25, 0.91)" 25 25 0.91 9.36 14.96 0.012 32
"(25, 25, 0.92)" 25 25 0.92 25 25 0.92 0
"(25, 25, 0.93)" 25 25 0.93 25 25 0.93 0
"(25, 25, 0.94)" 25 25 0.94 9.75 17.54 0.259 33
"(25, 25, 0.95)" 25 25 0.95 9.36 14.96 0.012 35
"(50, 2, 0.01)" 50 2 0.01 5.43 15.82 0.162 70
"(50, 2, 0.02)" 50 2 0.02 8.76 16.92 0.227 61
"(50, 2, 0.03)" 50 2 0.03 6.09 16.06 0.178 78
"(50, 2, 0.04)" 50 2 0.04 9.36 14.96 0.012 65
"(50, 2, 0.05)" 50 2 0.05 6.09 16.06 0.178 88
"(50, 2, 0.06)" 50 2 0.06 9.36 14.96 0.012 75
"(50, 2, 0.07)" 50 2 0.07 5.43 15.82 0.162 77
"(50, 2, 0.08)" 50 2 0.08 5.43 15.82 0.162 69
"(50, 2, 0.09)" 50 2 0.09 5.43 15.82 0.162 66
"(50, 2, 0.1)" 50 2 0.1 49.27 28.61 0.224 38
"(50, 2, 0.11)" 50 2 0.11 6.09 16.06 0.178 64
"(50, 2, 0.12)" 50 2 0.12 7.19 16.37 0.196 63
"(50, 2, 0.13)" 50 2 0.13 7.99 16.62 0.211 61
"(50, 2, 0.14)" 50 2 0.14 9.26 17.18 0.241 71
"(50, 2, 0.15)" 50 2 0.15 50 2 0.15 0
"(50, 2, 0.16)" 50 2 0.16 9.36 14.96 0.012 55
"(50, 2, 0.17)" 50 2 0.17 50 2 0.17 0
